AgeDescription,Age,AgeLower,AgeUpper,CO2,CO2Low1s,CO2High1s,Source,Site,Latitude,Longitude,Notes,doi
"Miocene, Cenozoic",15,23.03,5.333,477.8938205,350.908225,635.1942964,Meissner et al. 1984 (in Hughes et al. 1995),Salt Lake Group,,,,
"Miocene, Cenozoic",15.1,15.2,15,440.7594486,318.6476434,603.9255802,Pagani et al. 2000 (estimated),ODP608,42.8367,-23.0875,,
"Miocene, Cenozoic",15.2,15.25,15.1,467.7187313,334.4261699,648.566666,Pagani et al. 2000 (estimated),ODP608,42.8367,-23.0875,,
"Miocene, Cenozoic",15.25,15.3,15.2,418.7190355,302.5701988,572.6660507,Pagani et al. 2000 (estimated),ODP608,42.8367,-23.0875,,
Middle Miocene,15.6,15.7,15.5,400.9930679,296.7613101,529.9725624,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
"Miocene, Cenozoic",15.7,15.75,15.5,566.0103313,402.1248935,792.1170024,Pagani et al. 2000 (estimated),ODP608,42.8367,-23.0875,,
"Miocene, Cenozoic",15.9,15.9,15.75,555.9360685,391.7833689,784.4597045,Pagani et al. 2000 (estimated),ODP608,42.8367,-23.0875,,
Middle Miocene,16.1,16.3,16,421.8069733,311.2697579,560.0673073,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
"Miocene, Cenozoic",16.1,16.2,16,449.9699601,325.5081049,616.7838917,Pagani et al. 2000 (estimated),ODP608,42.8367,-23.0875,,
"Miocene, Cenozoic",16.25,16.3,16.1,476.5917851,343.2956244,656.3087671,Pagani et al. 2000 (estimated),ODP608,42.8367,-23.0875,,
"Miocene, Cenozoic",16.3,16.5,16.25,548.1147165,388.0600989,768.0173796,Pagani et al. 2000 (estimated),ODP608,42.8367,-23.0875,,
Middle Miocene,16.4,16.6,16.2,414.8618223,306.1222275,550.6003228,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
"Miocene, Cenozoic",16.7,16.8,16.5,482.8682993,346.1428319,667.5990379,Pagani et al. 2000 (estimated),ODP608,42.8367,-23.0875,,
