Period,Epoch,Stage,UpperAge,LowerAge,AverageAge,GMST_05,GMST_16,GMST_50,GMST_84,GMST_95,CO2_05,CO2_16,CO2_50,CO2_84,CO2_95
Carboniferous,Lower,Bashkirian,315.15,323.4,319.275,10.5795717940369,11.8047721568148,14.0831809426726,18.1795843826774,20.5573607302133,244.763439101888,275.282974829943,326.218641138667,386.283091585545,434.645096402131
Carboniferous,Upper,Serpukhovian,323.4,330.34,326.87,9.01936444442834,10.0123347790956,12.0196117042152,14.2667523359657,15.6839859645463,174.867865674654,242.148569239243,350.370953191903,507.334884922355,622.63930102641
Carboniferous,Middle,Visean,330.34,346.73,338.535,7.4411080355713,9.20698948054046,12.8255656851551,15.7179675807142,17.3135399122572,254.519583875625,329.275041943516,459.744804994317,644.454595672297,819.209412870008
Carboniferous,Lower,Tournaisian,346.73,359.3,353.015,18.9332174979994,20.0387640820506,21.7511645841093,23.9869465311887,24.7612211789612,192.850729377663,260.167747067439,395.711538064401,584.191187836743,781.360097514553
Devonian,Upper,Famennian,359.3,371.1,365.2,20.0494062727614,21.5758374210473,23.758832514672,26.1055922483833,27.5181155452974,381.661558565389,518.743768821405,807.073089575577,1128.72192327972,1399.59737482248
Devonian,Upper,Frasnian,371.1,378.9,375,23.5838627730318,25.3359046447177,27.9070754159621,30.6017726652872,31.5825579359055,692.753452533643,804.81438314974,981.824983767697,1202.69008177934,1394.164853328
Devonian,Middle,Givetian,378.9,385.3,382.1,21.5234092335677,22.7706898880431,25.6749278741602,27.8671364536017,29.9563944289755,667.280588907986,791.111500384016,1004.46247194776,1285.98068754168,1575.40824624446
Devonian,Middle,Eifelian,385.3,394.3,389.8,18.8079950247474,20.1072846225086,22.4890564687753,24.7938744517533,26.8685392041214,353.396924928614,485.157270586434,708.416989949467,1005.73966623655,1329.30290160125
Devonian,Lower,Emsian,394.3,410.5,402.4,21.7543783768427,22.7671860131367,25.2949084946877,27.9054884187094,29.1262510391329,1228.22660705145,1489.23345585017,2034.94933072348,2769.11778051669,3433.60066899302
Devonian,Lower,Pragian/Lochkovian,410.5,419,414.75,23.4457033576388,25.3704882592855,28.814095554512,31.8681507287064,33.2103902139423,606.232742244936,1011.60218107302,2018.13167605328,2939.05238299708,3887.6325711115
